Identified Proteins (1448)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Roco4_PO1
Aldose 1-epimerase family protein OS=Dictyostelium discoideum GN=DDB_0218007 PE=4 SV=1	tr|Q54ZC6|Q54ZC6_DICDI	38 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185787 PE=4 SV=1	tr|Q54QA4|Q54QA4_DICDI	84 kDa		6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217679 PE=4 SV=1	tr|Q553H6|Q553H6_DICDI	30 kDa		0
Putative uncharacterized protein rfa1 OS=Dictyostelium discoideum GN=rfa1 PE=4 SV=1	tr|Q54HE3|Q54HE3_DICDI	76 kDa	TRUE	1
Arrestin domain-containing protein C OS=Dictyostelium discoideum GN=adcC PE=3 SV=1	sp|Q55CH0|ADCC_DICDI	74 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217407 PE=4 SV=1	rtr|Q556K5|Q556K5_DICDI	30 kDa		0
Small MutS related family protein OS=Dictyostelium discoideum GN=DDB_G0288821 PE=4 SV=1	tr|Q54ID5|Q54ID5_DICDI	35 kDa		1
Gelsolin-related protein of 125 kDa OS=Dictyostelium discoideum GN=gnrA PE=1 SV=1	sp|O96923|GNRA_DICDI	125 kDa		3
Probable 2-ketogluconate reductase OS=Dictyostelium discoideum GN=tkrA PE=3 SV=1	sp|Q54DP1|TKRA_DICDI	37 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204618 PE=4 SV=1	tr|Q54TK2|Q54TK2_DICDI	46 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268264 PE=4 SV=1	tr|Q55GV2|Q55GV2_DICDI	18 kDa		1
30S ribosomal protein S5.	sp|P0A7W1|RS5_ECOLI	17 kDa		1
NOL1/NOP2/Sun family protein OS=Dictyostelium discoideum GN=DDB_G0295715 PE=4 SV=1	tr|C7G024|C7G024_DICDI	87 kDa		3
Glycine dehydrogenase [decarboxylating]	sp|P33195|GCSP_ECOLI	104 kDa		2
Aconitate hydratase 2 (EC 4.2.1.3) (Citr	sp|P36683|ACON2_ECOLI	94 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189735 PE=4 SV=1	tr|Q55FM3|Q55FM3_DICDI	22 kDa		2
"2,3,4,5-tetrahydropyridine-2,6-dicarboxy"	sp|P0A9D8|DAPD_ECOLI	30 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216772 PE=4 SV=1	tr|Q55BQ2|Q55BQ2_DICDI	35 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186514 PE=4 SV=1	tr|Q54N71|Q54N71_DICDI	53 kDa		1
Uncharacterized mitochondrial protein Mp36 OS=Dictyostelium discoideum GN=DidioMp36 PE=4 SV=1	sp|Q9TGM3|MP36_DICDI	94 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216797 PE=4 SV=1	tr|Q55BE3|Q55BE3_DICDI	28 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187764 PE=4 SV=1	tr|Q54JG6|Q54JG6_DICDI	233 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201681 PE=4 SV=1	tr|Q55EC2|Q55EC2_DICDI	49 kDa		2
ATP-dependent RNA helicase ddx19 OS=Dictyostelium discoideum GN=helC PE=2 SV=1	sp|Q54TF8|DDX19_DICDI	52 kDa		0
Rho GTPase-activating protein gacA OS=Dictyostelium discoideum GN=gacA PE=3 SV=1	sp|Q54Y72|GACA_DICDI	37 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205001 PE=3 SV=1	tr|Q54RW8|Q54RW8_DICDI	41 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218082 PE=4 SV=1	tr|Q54YD3|Q54YD3_DICDI	38 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217812 PE=4 SV=1	tr|Q86HW2|Q86HW2_DICDI	75 kDa		0
50S ribosomal protein L17.	sp|P0AG44|RL17_ECOLI	14 kDa		1
Eukaryotic translation initiation factor 3 subunit G OS=Dictyostelium discoideum GN=eif3g PE=3 SV=1	sp|Q54WM4|EIF3G_DICDI	27 kDa		3
Ras guanine nucleotide exchange factor F OS=Dictyostelium discoideum GN=gefF PE=2 SV=1	sp|Q54C94|GEFF_DICDI	126 kDa		1
Probable oligoribonuclease OS=Dictyostelium discoideum GN=rexo2-1 PE=3 SV=1	sp|Q556Y2|ORN_DICDI	22 kDa		0
Putative uncharacterized protein emg1 OS=Dictyostelium discoideum GN=emg1 PE=4 SV=1	tr|Q7KWM6|Q7KWM6_DICDI	37 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168187 PE=4 SV=1	tr|Q557H6|Q557H6_DICDI	26 kDa	TRUE	1
"Ribosomal protein L15, mitochondrial OS=Dictyostelium discoideum GN=mrpl15 PE=3 SV=1"	tr|Q54PP3|Q54PP3_DICDI	28 kDa		3
Signal recognition particle 72 kDa protein homolog OS=Dictyostelium discoideum GN=srp72 PE=3 SV=1	sp|Q54EP7|SRP72_DICDI	76 kDa		6
Lactose operon repressor.	sp|P03023|LACI_ECOLI	39 kDa		5
NADPH oxidoreductase B OS=Dictyostelium discoideum GN=redB PE=2 SV=1	sp|Q55CT1|REDB_DICDI	76 kDa	TRUE	4
Protein arginine N-methyltransferase 1 OS=Dictyostelium discoideum GN=prmt1 PE=3 SV=1	sp|Q54EF2|ANM1_DICDI	39 kDa	TRUE	0
UPF0160 protein OS=Dictyostelium discoideum GN=DDB_G0267768 PE=3 SV=1	sp|Q55G91|U160_DICDI	38 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190067 PE=4 SV=1	tr|Q55EM4|Q55EM4_DICDI	16 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167901 PE=3 SV=1	tr|Q86A74|Q86A74_DICDI	48 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190749 PE=4 SV=1	tr|Q55CK0|Q55CK0_DICDI	31 kDa	TRUE	1
Putative uncharacterized protein rsc43 OS=Dictyostelium discoideum GN=rsc43 PE=2 SV=1	tr|O15692|O15692_DICDI	28 kDa		2
Protein phosphatase 1 regulatory subunit pprA OS=Dictyostelium discoideum GN=pprA PE=3 SV=1	sp|Q54Q39|PP1R7_DICDI	39 kDa		3
Nuclear protein localization protein 4 homolog OS=Dictyostelium discoideum GN=nploc4 PE=3 SV=1	sp|Q54GD3|NPL4_DICDI	64 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204670 PE=4 SV=1	tr|Q54TF2|Q54TF2_DICDI	89 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190529 PE=4 SV=1	tr|Q55D79|Q55D79_DICDI	67 kDa		2
Kinesin-related protein 3 OS=Dictyostelium discoideum GN=kif3 PE=1 SV=1	sp|Q54UC9|KIF3_DICDI	131 kDa		0
Peptidase M16 family protein OS=Dictyostelium discoideum GN=pitrm1 PE=3 SV=2	tr|Q8MP58|Q8MP58_DICDI	121 kDa	TRUE	3
Eukaryotic translation initiation factor 1 OS=Dictyostelium discoideum GN=eIF1 PE=4 SV=1	tr|Q86AU4|Q86AU4_DICDI	12 kDa		1
Ubiquitin fusion degradation protein 1 homolog OS=Dictyostelium discoideum GN=ufd1 PE=3 SV=1	sp|Q55BK0|UFD1_DICDI	36 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187205 PE=4 SV=1	tr|Q54L23|Q54L23_DICDI	191 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184078 PE=4 SV=1	tr|Q54E45|Q54E45_DICDI	72 kDa		4
COP9 signalosome complex subunit 2 OS=Dictyostelium discoideum GN=csn2 PE=1 SV=1	sp|Q54HL6|CSN2_DICDI	52 kDa	TRUE	2
Beta-lactamase family protein OS=Dictyostelium discoideum GN=DDB_G0282095 PE=4 SV=1	tr|C7G020|C7G020_DICDI	103 kDa		3
FK506-binding protein 4 OS=Dictyostelium discoideum GN=fkbp4 PE=1 SV=1	sp|Q54NB6|FKBP4_DICDI	40 kDa	TRUE	4
"3',5'-cyclic-nucleotide phosphodiesterase regA OS=Dictyostelium discoideum GN=regA PE=1 SV=1"	sp|Q23917|PDE2_DICDI	91 kDa	TRUE	1
Glycerol kinase (EC 2.7.1.30) (ATP:glyce	sp|P0A6F3|GLPK_ECOLI	56 kDa		0
T-complex protein 1 subunit eta OS=Dictyostelium discoideum GN=cct7 PE=3 SV=1	sp|Q54ER7|TCPH_DICDI	61 kDa		1
Eukaryotic translation initiation factor 3 subunit K OS=Dictyostelium discoideum GN=eif3k PE=3 SV=2	sp|Q54EQ1|EIF3K_DICDI	29 kDa		2
Mo25-like family protein OS=Dictyostelium discoideum GN=DDB_G0284307 PE=4 SV=1	tr|C7G028|C7G028_DICDI	42 kDa		2
RabGAP/TBC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188980 PE=4 SV=1	tr|Q54FT8|Q54FT8_DICDI	43 kDa		0
Ras-related protein Rab-18 OS=Dictyostelium discoideum GN=rab18 PE=3 SV=1	sp|Q54GY8|RAB18_DICDI	23 kDa	TRUE	0
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=u2af2 PE=4 SV=1	tr|Q54LV5|Q54LV5_DICDI	75 kDa		0
Deoxyhypusine hydroxylase OS=Dictyostelium discoideum GN=dohh-1 PE=3 SV=1	sp|Q556G4|DOHH_DICDI	35 kDa		2
Alpha-galactosidase (EC 3.2.1.22) (Melib	sp|P06720|AGAL_ECOLI	51 kDa		0
50S ribosomal protein L20.	sp|P0A7L3|RL20_ECOLI	13 kDa		0
Putative tagatose 6-phosphate kinase gat	sp|P37191|GATZ_ECOLI	47 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185839 PE=4 SV=1	tr|Q54Q52|Q54Q52_DICDI	26 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204678 PE=4 SV=1	tr|Q54TE4|Q54TE4_DICDI	17 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203539 PE=4 SV=1	tr|Q552K6|Q552K6_DICDI	25 kDa		0
Myotrophin homolog OS=Dictyostelium discoideum GN=mtpn PE=3 SV=1	sp|Q55FM5|MTPN_DICDI	13 kDa		1
Putative uncharacterized protein gmfA OS=Dictyostelium discoideum GN=gmfA PE=4 SV=1	tr|Q54S93|Q54S93_DICDI	16 kDa		1
50S ribosomal protein L11.	sp|P0A7J7|RL11_ECOLI	15 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205874 PE=4 SV=1	tr|Q54W38|Q54W38_DICDI	102 kDa		3
Protein NipSnap homolog OS=Dictyostelium discoideum GN=nipsnap PE=3 SV=1	sp|Q54I58|NIPSN_DICDI	26 kDa		0
Cytochrome c OS=Dictyostelium discoideum GN=cytC PE=3 SV=1	sp|Q869N1|CYC_DICDI	13 kDa		1
30S ribosomal protein S11.	sp|P0A7R9|RS11_ECOLI	14 kDa		0
Uncharacterized protein DDB_G0283843 OS=Dictyostelium discoideum GN=DDB_G0283843 PE=4 SV=1	sp|Q54QG4|Y1747_DICDI	21 kDa	TRUE	1
FK506-binding protein 2 OS=Dictyostelium discoideum GN=fkbp2 PE=3 SV=1	sp|Q54SR7|FKBP2_DICDI	14 kDa		0
"3'(2'),5'-bisphosphate nucleotidase 1 OS=Dictyostelium discoideum GN=bpnt1 PE=3 SV=1"	sp|Q869K3|BPNT1_DICDI	34 kDa		4
Eukaryotic translation initiation factor 3 subunit F OS=Dictyostelium discoideum GN=eif3f PE=3 SV=1	sp|Q54C49|EIF3F_DICDI	32 kDa		1
Translocon-associated protein subunit beta OS=Dictyostelium discoideum GN=ssr2 PE=2 SV=2	sp|Q54VI6|SSRB_DICDI	21 kDa		1
RNA recognition motif-containing protein RRM OS=Dictyostelium discoideum GN=DDB_0204324 PE=4 SV=1	tr|Q54Z21|Q54Z21_DICDI	56 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167453 PE=4 SV=1	tr|Q86I17|Q86I17_DICDI	31 kDa		3
"Uncharacterized protein family, carbohydrate kinase-related OS=Dictyostelium discoideum GN=DDB_0189092 PE=4 SV=1"	tr|Q54FJ9|Q54FJ9_DICDI	33 kDa		0
40S ribosomal protein S27 OS=Dictyostelium discoideum GN=rps27 PE=3 SV=2	sp|Q8T1V4|RS27_DICDI	9 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203385 PE=4 SV=1	tr|Q54ZK3|Q54ZK3_DICDI	123 kDa	TRUE	2
Protein P80 OS=Dictyostelium discoideum GN=p80 PE=2 SV=1	sp|Q7YXD4|P80_DICDI	58 kDa		4
Eukaryotic translation initiation factor 2 subunit 2 OS=Dictyostelium discoideum GN=eif2s2 PE=3 SV=1	sp|Q54T27|IF2B_DICDI	36 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0294631 PE=4 SV=1	tr|B0G156|B0G156_DICDI	28 kDa		1
Ras-related protein Rab-5A OS=Dictyostelium discoideum GN=rab5A PE=3 SV=1	sp|Q86JP3|RAB5A_DICDI	22 kDa		5
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Dictyostelium discoideum GN=hibch PE=3 SV=1"	sp|Q55GS6|HIBCH_DICDI	43 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167338 PE=4 SV=1	tr|Q869L9|Q869L9_DICDI	51 kDa		0
Transportin OS=Dictyostelium discoideum GN=tnpo PE=3 SV=1	sp|Q55CQ7|TNPO_DICDI	105 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189485 PE=4 SV=1	tr|Q55GD7|Q55GD7_DICDI	16 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202872 PE=4 SV=1	tr|Q55BH4|Q55BH4_DICDI	20 kDa		0
Dolichol-phosphate mannosyltransferase OS=Dictyostelium discoideum GN=dpm1 PE=3 SV=1	sp|Q54LP3|DPM1_DICDI	29 kDa		2
Nitrilase homolog 2 OS=Dictyostelium discoideum GN=nit2 PE=3 SV=1	sp|Q54JM9|NIT2_DICDI	37 kDa		0
Protease degQ precursor (EC 3.4.21.-).	sp|P39099|DEGQ_ECOLI	47 kDa		0
RasGTPase-activating protein OS=Dictyostelium discoideum GN=DG1112 PE=4 SV=1	tr|Q869U6|Q869U6_DICDI	121 kDa		2
Enoyl-[acyl-carrier-protein] reductase [	sp|P0AEK4|FABI_ECOLI	28 kDa		0
Density-regulated protein homolog OS=Dictyostelium discoideum GN=denr PE=3 SV=1	sp|Q54WG0|DENR_DICDI	25 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188678 PE=4 SV=1	tr|Q54GQ2|Q54GQ2_DICDI	33 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187661 PE=4 SV=1	tr|Q54JS1|Q54JS1_DICDI	52 kDa		0
EGF-like domain-containing protein comC OS=Dictyostelium discoideum GN=comC PE=2 SV=1	rsp|Q55AP8|COMC_DICDI	163 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218284 PE=4 SV=1	tr|Q54UC5|Q54UC5_DICDI	22 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0218318 PE=4 SV=1	tr|Q54TU0|Q54TU0_DICDI	155 kDa		0
Lysine-sensitive aspartokinase III (EC 2	sp|P08660|AK3_ECOLI	49 kDa	TRUE	2
Methionine aminopeptidase 1 OS=Dictyostelium discoideum GN=metap1 PE=3 SV=1	sp|Q54WU3|AMPM1_DICDI	41 kDa		0
Pantoate--beta-alanine ligase OS=Dictyostelium discoideum GN=panC PE=3 SV=1	sp|Q54I80|PANC_DICDI	34 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205633 PE=4 SV=1	tr|Q54TT8|Q54TT8_DICDI	132 kDa	TRUE	6
Aminotransferase class-III OS=Dictyostelium discoideum GN=DDB_G0290721 PE=3 SV=1	tr|Q1ZXC3|Q1ZXC3_DICDI	55 kDa		1
Thiol peroxidase (EC 1.11.1.-) (Scavenga	sp|P0A862|TPX_ECOLI	18 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219564 PE=1 SV=1	tr|Q54G31|Q54G31_DICDI	80 kDa	TRUE	8
Calponin homology domain-containing protein DDB_G0272472 OS=Dictyostelium discoideum GN=DDB_G0272472 PE=4 SV=1	sp|Q75JP5|Y2471_DICDI	174 kDa		4
Phospholipase B-like protein E OS=Dictyostelium discoideum GN=plbE PE=3 SV=1	sp|Q54ZI6|PLBLE_DICDI	64 kDa	TRUE	0
Elongation factor Ts (EF-Ts).	sp|P0A6P1|EFTS_ECOLI	30 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217219 PE=3 SV=1	tr|Q557E6|Q557E6_DICDI	39 kDa		0
NADH-ubiquinone oxidoreductase 49 kDa subunit OS=Dictyostelium discoideum GN=nad7 PE=1 SV=1	sp|Q23883|NDUS2_DICDI (+1)	47 kDa	TRUE	2
UPF0553 protein OS=Dictyostelium discoideum GN=DDB_G0288723 PE=3 SV=1	sp|Q54II8|U553_DICDI	38 kDa	TRUE	2
Probable serine/threonine-protein phosphatase 2A catalytic subunit B OS=Dictyostelium discoideum GN=DDB_G0283187 PE=3 SV=1	sp|Q54RD6|PP2AB_DICDI	36 kDa		0
Thioredoxin-2 (Fragment) OS=Dictyostelium discoideum GN=trxB PE=3 SV=1	sp|P29446|THIO2_DICDI	10 kDa		2
D-methionine-binding lipoprotein metQ pr	sp|P28635|METQ_ECOLI	29 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190423 PE=3 SV=1	tr|Q55DJ4|Q55DJ4_DICDI	19 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191676 PE=4 SV=1	tr|Q54CJ9|Q54CJ9_DICDI	13 kDa		1
26S protease regulatory subunit 6B homolog OS=Dictyostelium discoideum GN=psmC4 PE=1 SV=1	sp|P34123|PRS6B_DICDI	46 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217534 PE=1 SV=1	tr|Q555G2|Q555G2_DICDI	108 kDa		7
"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Dictyostelium discoideum GN=ech1 PE=3 SV=1"	sp|Q54SS0|ECH1_DICDI	33 kDa		1
Probable deoxyhypusine synthase OS=Dictyostelium discoideum GN=dhps PE=3 SV=1	sp|Q54MQ7|DHYS_DICDI	43 kDa	TRUE	0
30S ribosomal protein S13.	sp|P0A7S9|RS13_ECOLI	13 kDa		0
ADP-ribosylation factor-like protein 2 OS=Dictyostelium discoideum GN=arl2 PE=3 SV=1	sp|Q54UF1|ARL2_DICDI	21 kDa		0
Glycoprotein 130 OS=Dictyostelium discoideum GN=gp130 PE=1 SV=1	tr|Q95US4|Q95US4_DICDI	85 kDa	TRUE	4
Phox domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289833 PE=1 SV=1	tr|Q54GY1|Q54GY1_DICDI	22 kDa		0
Rho-related protein racH OS=Dictyostelium discoideum GN=racH PE=3 SV=1	sp|Q9GPR7|RACH_DICDI	22 kDa	TRUE	0
Uncharacterized protein DDB_G0292160 OS=Dictyostelium discoideum GN=DDB_G0292160 PE=4 SV=1	sp|Q1ZXA8|Y1625_DICDI	19 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0295725 PE=4 SV=1	tr|C7G007|C7G007_DICDI	40 kDa		0
Actin domain-containing protein OS=Dictyostelium discoideum GN=fia PE=3 SV=1	tr|Q54PQ2|Q54PQ2_DICDI	105 kDa	TRUE	0
Oxysterol-binding protein 3 OS=Dictyostelium discoideum GN=osbC PE=3 SV=1	sp|Q55CR2|OSB3_DICDI	42 kDa		3
Leucyl-tRNA synthetase OS=Dictyostelium discoideum GN=mlysS PE=3 SV=1	tr|Q54LP4|Q54LP4_DICDI	71 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190199 PE=4 SV=1	tr|Q55E81|Q55E81_DICDI	37 kDa		0
Kynureninase OS=Dictyostelium discoideum GN=kynu PE=3 SV=1	sp|Q54Q04|KYNU_DICDI	51 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185788 PE=4 SV=1	tr|Q54QA3|Q54QA3_DICDI	31 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185703 PE=4 SV=1	tr|Q54QI3|Q54QI3_DICDI	56 kDa	TRUE	0
PRA1 family protein 2 OS=Dictyostelium discoideum GN=prafB PE=3 SV=2	sp|Q54NS7|PRAFB_DICDI (+1)	18 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0283871 PE=4 SV=1	tr|Q54QJ8|Q54QJ8_DICDI	30 kDa		1
T-complex protein 1 subunit delta OS=Dictyostelium discoideum GN=cct4 PE=3 SV=1	sp|Q54CL2|TCPD_DICDI	57 kDa		2
"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Dictyostelium discoideum GN=etfdh PE=3 SV=1"	sp|Q54XM6|ETFD_DICDI	68 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205662 PE=4 SV=1	tr|Q54X39|Q54X39_DICDI	28 kDa		2
Rho GTPase-activating protein gacJJ OS=Dictyostelium discoideum GN=gacJJ PE=3 SV=1	sp|Q54FG5|GACJJ_DICDI	97 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203975 PE=4 SV=1	tr|Q54UJ1|Q54UJ1_DICDI	26 kDa		1
SH3 and FCH domain-containing protein DDB_G0274695 OS=Dictyostelium discoideum GN=DDB_G0274695 PE=4 SV=1	sp|Q555L8|Y4695_DICDI	44 kDa		3
Stress-activated protein kinase alpha OS=Dictyostelium discoideum GN=spkA-1 PE=1 SV=1	sp|Q86AT8|SPKA_DICDI	73 kDa	TRUE	1
Putative actin-24 OS=Dictyostelium discoideum GN=act24 PE=3 SV=1	sp|Q54HF1|ACT24_DICDI	42 kDa	TRUE	0
Probable serine/threonine-protein kinase DDB_G0292350 OS=Dictyostelium discoideum GN=DDB_G0292350 PE=3 SV=1	sp|Q54DC8|Y2350_DICDI	139 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219445 PE=4 SV=1	tr|Q54HD3|Q54HD3_DICDI	62 kDa		0
UPF0424 protein OS=Dictyostelium discoideum GN=DDB_G0277951 PE=3 SV=1	sp|Q54Z24|U424_DICDI	23 kDa		0
Small heat shock protein ibpB (16 kDa he	sp|P0C058|IBPB_ECOLI	16 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186377 PE=4 SV=1	tr|Q54NL3|Q54NL3_DICDI	53 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185424 PE=4 SV=1	tr|Q54RB5|Q54RB5_DICDI	29 kDa		3
50S ribosomal protein L22.	sp|P61175|RL22_ECOLI	12 kDa		0
Cytosolic Fe-S cluster assembly factor NUBP1 homolog OS=Dictyostelium discoideum GN=nubp1 PE=3 SV=1	sp|Q8T2F3|NUBP1_DICDI	34 kDa	TRUE	0
WD repeat-containing protein 61 homolog OS=Dictyostelium discoideum GN=wdr61 PE=4 SV=1	sp|Q54S59|WDR61_DICDI	32 kDa		1
Alpha-ketoglutarate-dependent dioxygenase alkB OS=Dictyostelium discoideum GN=alkB PE=2 SV=1	sp|Q54N08|ALKB_DICDI	45 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185382 PE=3 SV=1	tr|Q54RH6|Q54RH6_DICDI	59 kDa	TRUE	2
Putative phagocytic receptor 1a OS=Dictyostelium discoideum GN=phg1a PE=2 SV=1	sp|Q55FP0|PHG1A_DICDI	73 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184474 PE=4 SV=1	tr|Q54CZ8|Q54CZ8_DICDI	27 kDa		2
Probable ubiquitin-conjugating enzyme E2 variant OS=Dictyostelium discoideum GN=ube2v PE=3 SV=1	sp|Q54D06|UBE2V_DICDI	15 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186704 PE=4 SV=1	tr|Q54MN4|Q54MN4_DICDI	38 kDa		1
Acetyl-coenzyme A synthetase OS=Dictyostelium discoideum GN=acsA PE=3 SV=1	sp|Q54Z60|ACSA_DICDI	76 kDa		3
"Class II aldolase/adducin, N-terminal domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0284915 PE=4 SV=1"	tr|Q54NY7|Q54NY7_DICDI	27 kDa		1
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=rae1 PE=4 SV=1	tr|Q54QH0|Q54QH0_DICDI	38 kDa		0
Leucine-rich repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0217691 PE=4 SV=1	tr|Q553C7|Q553C7_DICDI	33 kDa		1
Putative protein disulfide-isomerase DDB_G0275025 OS=Dictyostelium discoideum GN=DDB_G0275025 PE=1 SV=1	sp|Q869Z0|Y5025_DICDI	47 kDa		0
Dihydroorotate dehydrogenase OS=Dictyostelium discoideum GN=pyr4 PE=3 SV=2	sp|P07670|PYRD_DICDI	41 kDa		2
Guanine deaminase OS=Dictyostelium discoideum GN=guaD PE=3 SV=1	sp|Q86AW9|GUAD_DICDI	51 kDa	TRUE	1
DNA gyrase subunit B (EC 5.99.1.3).	sp|P0AES6|GYRB_ECOLI	90 kDa		3
Ras-related protein Rab-6 OS=Dictyostelium discoideum GN=rab6 PE=3 SV=1	sp|Q55FK2|RAB6_DICDI	23 kDa	TRUE	6
Pyruvate kinase I (EC 2.7.1.40) (PK-1).	sp|P0AD61|KPYK1_ECOLI	51 kDa	TRUE	0
Putative synaptobrevin homolog YKT6 OS=Dictyostelium discoideum GN=ykt6 PE=1 SV=1	sp|Q54ES8|YKT6_DICDI	23 kDa		2
Rho-related protein racD OS=Dictyostelium discoideum GN=racD PE=2 SV=3	sp|P34150|RACD_DICDI	28 kDa	TRUE	0
Uncharacterized 4-hydroxyphenylpyruvate dioxygenase-like protein OS=Dictyostelium discoideum GN=hpdl-1 PE=3 SV=1	sp|Q557J8|HPDL_DICDI	57 kDa		1
Calmodulin-like protein OS=Dictyostelium discoideum GN=calB PE=2 SV=1	sp|O00897|CALML_DICDI	17 kDa		1
Methylenetetrahydrofolate reductase OS=Dictyostelium discoideum GN=DDB_G0279137 PE=3 SV=1	tr|Q54X84|Q54X84_DICDI	70 kDa		2
Transmembrane emp24 domain-containing protein B OS=Dictyostelium discoideum GN=empB PE=3 SV=1	sp|Q54BN0|TMEDB_DICDI	24 kDa		5
Hydroxymethylglutaryl-CoA synthase A OS=Dictyostelium discoideum GN=hgsA PE=1 SV=2	sp|P54872|HMCSA_DICDI	54 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190960 PE=4 SV=1	tr|Q55BY3|Q55BY3_DICDI	9 kDa		0
Eukaryotic translation initiation factor 3 subunit H OS=Dictyostelium discoideum GN=eif3h PE=3 SV=1	sp|Q54UD0|EIF3H_DICDI	37 kDa		0
