Identified Proteins (1603)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Ga4_PO
Probable histidine ammonia-lyase OS=Dictyostelium discoideum GN=hal PE=2 SV=1	sp|Q54JI7|HUTH_DICDI	59 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204670 PE=4 SV=1	tr|Q54TF2|Q54TF2_DICDI	89 kDa	TRUE	9
60S ribosomal protein L35 OS=Dictyostelium discoideum GN=rpl35 PE=3 SV=1	sp|Q54J23|RL35_DICDI	14 kDa	TRUE	0
Cleavage and polyadenylation specificity factor subunit 2 OS=Dictyostelium discoideum GN=cpsf2 PE=3	rsp|Q55BS1|CPSF2_DICDI	?		1
Proteasome subunit alpha type-2 OS=Dictyostelium discoideum GN=psmA2 PE=3 SV=1	sp|Q54DM7|PSA2_DICDI	26 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185786 PE=4 SV=1	tr|Q54QA5|Q54QA5_DICDI	90 kDa	TRUE	1
FKBP-type peptidyl-prolyl cis-trans isom	sp|P0A9K9|SLYD_ECOLI	21 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0285797 PE=4 SV=1	rtr|C7G038|C7G038_DICDI	?	TRUE	3
LIM-type zinc finger-containing protein OS=Dictyostelium discoideum GN=DDB_0188965 PE=4 SV=1	tr|Q54FV6|Q54FV6_DICDI	53 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217812 PE=4 SV=1	tr|Q86HW2|Q86HW2_DICDI	75 kDa		1
Ras-related protein Rab-1A OS=Dictyostelium discoideum GN=rab1A PE=2 SV=2	sp|P34139|RAB1A_DICDI	23 kDa	TRUE	9
Rho-related protein racD OS=Dictyostelium discoideum GN=racD PE=2 SV=3	sp|P34150|RACD_DICDI	28 kDa		2
Serine/threonine-protein phosphatase 4 catalytic subunit OS=Dictyostelium discoideum GN=ppp4c PE=1 SV=1	sp|Q9Y0B7|PP4C_DICDI	35 kDa		4
O-methyltransferase 9 OS=Dictyostelium discoideum GN=omt9 PE=3 SV=1	sp|Q54GZ0|OMT9_DICDI	41 kDa	TRUE	5
UDP-glucose 6-dehydrogenase (EC 1.1.1.22	sp|P76373|UDG_ECOLI	44 kDa		4
UV excision repair protein RAD23 homolog OS=Dictyostelium discoideum GN=rcbA PE=1 SV=1	sp|Q54LV1|RAD23_DICDI	37 kDa		3
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0290535 PE=3 SV=1	tr|Q54FY2|Q54FY2_DICDI	54 kDa	TRUE	4
"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Dictyostelium discoideum GN=ndufv2 PE=3 SV=1"	sp|Q54F10|NDUV2_DICDI	28 kDa		1
"Probable isoleucyl-tRNA synthetase, mitochondrial OS=Dictyostelium discoideum GN=mileS PE=3 SV=1"	sp|Q54CE4|SYIM_DICDI	118 kDa	TRUE	2
UPF0141 protein yijP.	sp|P32678|YIJP_ECOLI	67 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168905 PE=4 SV=1	rtr|Q86IH5|Q86IH5_DICDI	?	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185678 PE=4 SV=1	tr|Q54QK5|Q54QK5_DICDI	80 kDa	TRUE	3
Leucine-rich repeat-containing protein OS=Dictyostelium discoideum GN=DDB_0218778 PE=4 SV=1	tr|Q54MF0|Q54MF0_DICDI	118 kDa	TRUE	5
Rap-GAP domain-containing protein DDB_G0281809 OS=Dictyostelium discoideum GN=DDB_G0281809 PE=4 SV=1	sp|Q54TK4|Y1809_DICDI	181 kDa	TRUE	6
Sterol 3-beta-glucosyltransferase OS=Pichia pastoris (strain GS115) GN=ATG26 PE=3 SV=1	rsp|Q9Y751|ATG26_PICPG	?		2
"Arginine biosynthesis bifunctional protein argJ, mitochondrial OS=Dictyostelium discoideum GN=argJ PE=3 SV=1"	sp|Q54DY1|ARGJ_DICDI	48 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0295725 PE=4 SV=1	tr|C7G007|C7G007_DICDI	40 kDa		4
ORF1740 OS=Dictyostelium discoideum PE=4 SV=1	rtr|Q23891|Q23891_DICDI	?	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184474 PE=4 SV=1	tr|Q54CZ8|Q54CZ8_DICDI	27 kDa	TRUE	3
Pre-mRNA-processing-splicing factor 8 homolog OS=Dictyostelium discoideum GN=prpf8 PE=3 SV=1	sp|Q8T295|PRP8_DICDI	272 kDa	TRUE	4
Probable serine/threonine-protein kinase DDB_G0272092 OS=Dictyostelium discoideum GN=DDB_G0272092 PE=2 SV=1	sp|Q55A55|Y9848_DICDI	110 kDa		2
RNA recognition motif-containing protein RRM OS=Dictyostelium discoideum GN=DDB_0204324 PE=4 SV=1	tr|Q54Z21|Q54Z21_DICDI	56 kDa		3
Ras-like protein rasS OS=Dictyostelium discoideum GN=rasS PE=2 SV=1	sp|P32254|RASS_DICDI	22 kDa	TRUE	3
General transcriptional corepressor tupA OS=Dictyostelium discoideum GN=tupA PE=2 SV=1	sp|O76734|TUP1_DICDI	65 kDa		1
Coatomer subunit epsilon OS=Dictyostelium discoideum GN=cope PE=3 SV=1	sp|Q55FU2|COPE_DICDI	34 kDa		3
Type-1 glutamine synthetase 2 OS=Dictyostelium discoideum GN=glnA2 PE=3 SV=1	sp|P0C7B6|GLNA2_DICDI (+1)	59 kDa	TRUE	3
Coiled-coil domain-containing protein 22 homolog OS=Dictyostelium discoideum GN=DDB_G0285813 PE=3 SV=1	sp|Q54MP2|CCD22_DICDI	74 kDa	TRUE	3
Developmentally-regulated GTP-binding protein 2 homolog OS=Dictyostelium discoideum GN=drg2 PE=3 SV=1	sp|Q54WT4|DRG2_DICDI	41 kDa		4
Nucleoporin 155 OS=Dictyostelium discoideum GN=nup155 PE=4 SV=1	tr|Q54F20|Q54F20_DICDI	181 kDa		6
Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Dictyostelium discoideum GN=qprt PE=3 SV=1	sp|Q75JX0|NADC_DICDI	33 kDa		2
Eukaryotic translation initiation factor 3 subunit E OS=Dictyostelium discoideum GN=eif3e PE=3 SV=1	sp|Q54CC5|EIF3E_DICDI	60 kDa		1
Methenyl tetrahydrofolate cyclohydrolase / NADP-dependent methylene H4F dehydrogenase OS=Dictyostelium discoideum GN=DDB_G0283121 PE=3 SV=1	tr|Q54RI8|Q54RI8_DICDI	32 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0268498 PE=4 SV=2	tr|Q55GG3|Q55GG3_DICDI	93 kDa		5
Protein ydgA precursor.	sp|P77804|YDGA_ECOLI	55 kDa		1
40S ribosomal protein S13 OS=Dictyostelium discoideum GN=rps13 PE=3 SV=1	sp|Q54PH8|RS13_DICDI	17 kDa	TRUE	0
Mitochondrial genome maintenance protein mgm101 homolog OS=Dictyostelium discoideum GN=mgm101 PE=3 SV=1	sp|Q8MYF0|MG101_DICDI	43 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190536 PE=4 SV=1	tr|Q55D72|Q55D72_DICDI	96 kDa	TRUE	5
COP9 signalosome complex subunit 4 OS=Dictyostelium discoideum GN=csn4 PE=2 SV=1	sp|Q54B82|CSN4_DICDI	45 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189496 PE=1 SV=1	tr|Q55GC5|Q55GC5_DICDI	19 kDa	TRUE	5
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=wdr23 PE=4 SV=1	tr|Q54E28|Q54E28_DICDI	77 kDa		7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217764 PE=4 SV=1	tr|Q552B8|Q552B8_DICDI	112 kDa	TRUE	5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0288519 PE=4 SV=1	tr|Q54IU1|Q54IU1_DICDI	52 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188673 PE=4 SV=1	tr|Q54GQ7|Q54GQ7_DICDI	46 kDa		5
AMP deaminase OS=Dictyostelium discoideum GN=amdA PE=1 SV=1	sp|Q54DD0|AMPD_DICDI	91 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204886 PE=4 SV=1	tr|Q54S68|Q54S68_DICDI	155 kDa	TRUE	6
Putative vacuolar protein sorting-associated protein 13C OS=Dictyostelium discoideum GN=tipC PE=3 SV=1	sp|Q55FG3|VP13C_DICDI	440 kDa	TRUE	3
"Putative transferase caf17 homolog, mitochondrial OS=Dictyostelium discoideum GN=caf17 PE=3 SV=1"	sp|Q54NS1|CAF17_DICDI	46 kDa	TRUE	2
DOCK family protein OS=Dictyostelium discoideum GN=docB PE=4 SV=1	tr|Q55BQ8|Q55BQ8_DICDI	244 kDa	TRUE	5
SNO glutamine amidotransferase family protein OS=Dictyostelium discoideum GN=DDB_0215963 PE=1 SV=1	tr|Q54J48|Q54J48_DICDI	28 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188640 PE=4 SV=1	tr|Q54GU2|Q54GU2_DICDI	142 kDa	TRUE	3
UPF0553 protein OS=Dictyostelium discoideum GN=DDB_G0288723 PE=3 SV=1	sp|Q54II8|U553_DICDI	38 kDa		4
Probable importin-7 homolog OS=Dictyostelium discoideum GN=DDB_G0269860 PE=3 SV=1	sp|Q55CX9|IPO7_DICDI	124 kDa	TRUE	5
Exportin-2 OS=Dictyostelium discoideum GN=xpo2 PE=3 SV=1	sp|Q54E36|XPO2_DICDI	108 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217527 PE=4 SV=1	tr|Q555H5|Q555H5_DICDI	199 kDa		5
Proliferating cell nuclear antigen OS=Dictyostelium discoideum GN=pcna PE=3 SV=1	sp|Q54K47|PCNA_DICDI	28 kDa		4
ORF1740 OS=Dictyostelium discoideum PE=4 SV=1	tr|Q23891|Q23891_DICDI	207 kDa	TRUE	5
Signal recognition particle 72 kDa protein homolog OS=Dictyostelium discoideum GN=srp72 PE=3 SV=1	sp|Q54EP7|SRP72_DICDI	76 kDa		4
Alpha adducin OS=Dictyostelium discoideum GN=ahhA PE=4 SV=1	tr|Q54T47|Q54T47_DICDI	30 kDa		3
COP9 signalosome complex subunit 6 OS=Dictyostelium discoideum GN=csn6 PE=1 SV=1	sp|Q54C92|CSN6_DICDI	35 kDa		3
Serine/threonine-protein phosphatase PP1 OS=Dictyostelium discoideum GN=pppB PE=1 SV=1	sp|O15757|PP1_DICDI	37 kDa	TRUE	4
Ras-like protein rasB OS=Dictyostelium discoideum GN=rasB PE=1 SV=1	sp|P32252|RASB_DICDI	22 kDa	TRUE	5
Phosphoglycerate kinase (EC 2.7.2.3).	sp|P0A799|PGK_ECOLI	41 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206334 PE=4 SV=1	tr|Q54W55|Q54W55_DICDI	46 kDa	TRUE	7
Enoyl-CoA hydratase/isomerase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187604 PE=4 SV=1	tr|Q54JY1|Q54JY1_DICDI	48 kDa		4
Glutathione S-transferase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0168319 PE=1 SV=1	tr|Q86JB5|Q86JB5_DICDI	34 kDa	TRUE	5
Extracellular signal-regulated kinase 2 OS=Dictyostelium discoideum GN=erkB PE=2 SV=1	sp|Q54QB1|ERK2_DICDI	42 kDa		5
30S ribosomal protein S5.	sp|P0A7W1|RS5_ECOLI	17 kDa	TRUE	2
CBS domain-containing protein OS=Dictyostelium discoideum GN=sigI PE=4 SV=1	tr|Q8T849|Q8T849_DICDI	34 kDa		4
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit homolog OS=Dictyostelium discoideum GN=ddost PE=3 SV=1	sp|Q54E62|OST48_DICDI	48 kDa		1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190498 PE=4 SV=1	tr|Q55DB1|Q55DB1_DICDI	39 kDa		3
Ras-related GTP-binding protein A OS=Dictyostelium discoideum GN=ragA PE=2 SV=1	sp|Q54IK1|RRAGA_DICDI	35 kDa	TRUE	7
Oxysterol-binding protein 6 OS=Dictyostelium discoideum GN=osbF PE=3 SV=1	sp|Q86HV4|OSB6_DICDI	50 kDa		1
Transcription initiation factor Spt5 OS=Dictyostelium discoideum GN=spt5 PE=4 SV=1	tr|Q54K42|Q54K42_DICDI	126 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183846 PE=4 SV=1	tr|Q54ES4|Q54ES4_DICDI	21 kDa		0
Peptidase M16 family protein OS=Dictyostelium discoideum GN=pitrm1 PE=3 SV=2	tr|Q8MP58|Q8MP58_DICDI	121 kDa		3
Dephospho-CoA kinase OS=Dictyostelium discoideum GN=DDB_G0285525 PE=4 SV=1	tr|Q54N39|Q54N39_DICDI	24 kDa		1
60S ribosomal protein L32 OS=Dictyostelium discoideum GN=rpl32 PE=3 SV=1	sp|Q55AB5|RL32_DICDI	15 kDa	TRUE	1
Putative uncharacterized protein gmfA OS=Dictyostelium discoideum GN=gmfA PE=4 SV=1	tr|Q54S93|Q54S93_DICDI	16 kDa	TRUE	1
Protein grpE (HSP-70 cofactor) (Heat sho	sp|P09372|GRPE_ECOLI	22 kDa		6
Poly glycohydrolase OS=Dictyostelium discoideum GN=parG PE=4 SV=1	tr|Q54Z28|Q54Z28_DICDI	74 kDa		5
"Formate dehydrogenase-O, major subunit ("	sp|P32176|FDOG_ECOLI	113 kDa		6
Putative tagatose 6-phosphate kinase gat	sp|P37191|GATZ_ECOLI	47 kDa		7
Alpha-galactosidase (EC 3.2.1.22) (Melib	sp|P06720|AGAL_ECOLI	51 kDa		6
"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase OS=Dictyostelium discoideum GN=plc PE=2 SV=1"	sp|Q02158|PLC_DICDI	91 kDa	TRUE	7
Myosin IB heavy chain OS=Dictyostelium discoideum GN=myoB PE=1 SV=2	sp|P34092|MYOB_DICDI	124 kDa	TRUE	5
Elongation protein 1 OS=Dictyostelium discoideum GN=elp1 PE=4 SV=1	tr|Q54Q66|Q54Q66_DICDI	159 kDa		6
Vps53-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0285901 PE=4 SV=1	tr|Q54MJ6|Q54MJ6_DICDI	97 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205566 PE=4 SV=1	tr|Q54U01|Q54U01_DICDI	93 kDa	TRUE	7
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202550 PE=4 SV=1	tr|Q553R1|Q553R1_DICDI	118 kDa	TRUE	7
Probable histone-binding protein rbbD OS=Dictyostelium discoideum GN=rbbD PE=3 SV=1	sp|Q54SD4|RBBD_DICDI	48 kDa		1
UPF0587 protein OS=Dictyostelium discoideum GN=DDB_G0270194 PE=3 SV=1	sp|Q55C72|U587_DICDI	18 kDa	TRUE	0
60S ribosomal protein L36 OS=Dictyostelium discoideum GN=rpl36 PE=3 SV=1	sp|Q55AQ9|RL36_DICDI	12 kDa		0
Erk2-dependent phosphoprotein OS=Dictyostelium discoideum GN=eppA PE=4 SV=1	tr|Q54RC0|Q54RC0_DICDI	45 kDa		4
Guanine nucleotide-binding protein alpha-7 subunit OS=Dictyostelium discoideum GN=gpaG PE=2 SV=3	sp|P34045|GPA7_DICDI	44 kDa	TRUE	4
Methionine aminopeptidase 2 OS=Dictyostelium discoideum GN=metap2 PE=3 SV=3	sp|Q55C21|AMPM2_DICDI	49 kDa		2
Translocon-associated protein subunit alpha OS=Dictyostelium discoideum GN=ssr1 PE=3 SV=1	sp|Q54R45|SSRA_DICDI	26 kDa		3
Small heat shock protein hspL OS=Dictyostelium discoideum GN=hspL PE=3 SV=1	sp|Q55GH8|HSPL_DICDI	15 kDa		2
Methionine adenosyltransferase regulatory beta subunit OS=Dictyostelium discoideum GN=DDB_G0280135 PE=4 SV=1	tr|Q54VU3|Q54VU3_DICDI	37 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0215298 PE=4 SV=1	tr|Q54XE5|Q54XE5_DICDI	45 kDa		4
40S ribosomal protein S23 OS=Dictyostelium discoideum GN=rps23 PE=3 SV=1	sp|Q55A19|RS23_DICDI	16 kDa	TRUE	1
Deoxyhypusine hydroxylase OS=Dictyostelium discoideum GN=dohh-1 PE=3 SV=1	sp|Q556G4|DOHH_DICDI	35 kDa	TRUE	1
"Probable glycine cleavage system H protein 1, mitochondrial OS=Dictyostelium discoideum GN=gcvH1 PE=3 SV=1"	sp|Q54JV8|GCSH1_DICDI	17 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191803 PE=4 SV=1	tr|Q54C69|Q54C69_DICDI	25 kDa		3
Nuclear protein localization protein 4 homolog OS=Dictyostelium discoideum GN=nploc4 PE=3 SV=1	sp|Q54GD3|NPL4_DICDI	64 kDa		0
Molybdenum cofactor sulfurase domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187811 PE=4 SV=1	tr|Q54JB6|Q54JB6_DICDI	43 kDa		4
Ribosome maturation protein SBDS OS=Dictyostelium discoideum GN=sbds PE=3 SV=2	sp|Q86KZ5|SBDS_DICDI	31 kDa	TRUE	3
Beta-lactamase family protein OS=Dictyostelium discoideum GN=DDB_G0282095 PE=4 SV=1	tr|C7G020|C7G020_DICDI	103 kDa	TRUE	10
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0187993 PE=3 SV=1	tr|Q54IS1|Q54IS1_DICDI	34 kDa		5
Cell division protein kinase 5 homolog OS=Dictyostelium discoideum GN=cdk5 PE=2 SV=2	sp|P34117|CDK5_DICDI	33 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217880 PE=4 SV=1	tr|Q550P6|Q550P6_DICDI	135 kDa	TRUE	4
T-complex protein 1 subunit epsilon OS=Dictyostelium discoideum GN=cct5 PE=3 SV=1	sp|Q54TD3|TCPE_DICDI	59 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183821 PE=4 SV=1	tr|Q54EU8|Q54EU8_DICDI	26 kDa		0
"3-hydroxybutyryl-CoA dehydratase-like protein, mitochondrial OS=Dictyostelium discoideum GN=DDB_G0271866 PE=3 SV=1"	sp|Q869N6|CRTL_DICDI	33 kDa		1
Heat shock protein DnaJ family protein OS=Dictyostelium discoideum GN=DDB_0204173 PE=4 SV=1	tr|Q54SQ0|Q54SQ0_DICDI	40 kDa	TRUE	2
60S ribosomal protein L30 OS=Dictyostelium discoideum GN=rpl30 PE=3 SV=1	sp|Q55BS9|RL30_DICDI	12 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219267 PE=4 SV=1	rtr|Q54JY5|Q54JY5_DICDI	?	TRUE	7
Putative protein disulfide-isomerase DDB_G0275025 OS=Dictyostelium discoideum GN=DDB_G0275025 PE=1 SV=1	sp|Q869Z0|Y5025_DICDI	47 kDa		2
RING zinc finger-containing protein OS=Dictyostelium discoideum GN=vps8 PE=4 SV=1	tr|Q54EK0|Q54EK0_DICDI	199 kDa	TRUE	7
Serine/threonine-protein phosphatase 2A catalytic subunit A OS=Dictyostelium discoideum GN=pho2A PE=1 SV=1	sp|Q9XZE5|PP2AA_DICDI	35 kDa	TRUE	1
Allantoicase OS=Dictyostelium discoideum GN=allC PE=1 SV=1	sp|Q54VL5|ALLC_DICDI	42 kDa		4
"Ankyrin repeat, PH and SEC7 domain containing protein secG OS=Dictyostelium discoideum GN=secG PE=2 SV=1"	sp|Q54KA7|SECG_DICDI	108 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203978 PE=4 SV=1	tr|Q54UI8|Q54UI8_DICDI	32 kDa		3
Mitochondrial substrate carrier family protein G OS=Dictyostelium discoideum GN=mcfG PE=2 SV=1	sp|Q54BM3|MCFG_DICDI	32 kDa		3
Glyoxylase B2 OS=Dictyostelium discoideum GN=gloB2 PE=3 SV=1	sp|Q54EJ5|GLOB2_DICDI	33 kDa		2
DUF255 family protein OS=Dictyostelium discoideum GN=DDB_0202012 PE=4 SV=1	tr|Q55BX2|Q55BX2_DICDI	95 kDa	TRUE	3
ATP-dependent RNA helicase ddx19 OS=Dictyostelium discoideum GN=helC PE=2 SV=1	sp|Q54TF8|DDX19_DICDI	52 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191845 PE=4 SV=1	tr|Q54C42|Q54C42_DICDI	74 kDa		5
Zinc-containing alcohol dehydrogenase OS=Dictyostelium discoideum GN=DDB_0168737 PE=4 SV=1	tr|Q75JW6|Q75JW6_DICDI	35 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167992 PE=4 SV=1	tr|Q556K7|Q556K7_DICDI	82 kDa	TRUE	3
Zinc finger protein ZPR1 homolog OS=Dictyostelium discoideum GN=zpr1 PE=3 SV=1	sp|Q55E13|ZPR1_DICDI	54 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186928 PE=4 SV=1	tr|Q54LX4|Q54LX4_DICDI	46 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169005 PE=3 SV=1	tr|Q86L18|Q86L18_DICDI	60 kDa		2
Cytosolic Fe-S cluster assembly factor NUBP1 homolog OS=Dictyostelium discoideum GN=nubp1 PE=3 SV=1	sp|Q8T2F3|NUBP1_DICDI	34 kDa		4
Protein FAM45 homolog OS=Dictyostelium discoideum GN=fam45 PE=3 SV=1	sp|Q55FE3|FAM45_DICDI	42 kDa	TRUE	3
Probable urocanate hydratase OS=Dictyostelium discoideum GN=uroc1 PE=3 SV=2	sp|Q86AX3|HUTU_DICDI	75 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191799 PE=4 SV=1	tr|Q54C73|Q54C73_DICDI	26 kDa		3
50S ribosomal protein L5.	sp|P62399|RL5_ECOLI	20 kDa		3
Cysteine synthase A (EC 2.5.1.47) (O-ace	sp|P0ABK5|CYSK_ECOLI	34 kDa		4
Probable ubiquitin carboxyl-terminal hydrolase OS=Dictyostelium discoideum GN=uch1 PE=3 SV=1	sp|Q54T48|UCHL_DICDI	29 kDa		4
"Tryptophanyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=trpS PE=3 SV=1"	sp|Q55DZ8|SYWC_DICDI	46 kDa		0
Probable splicing factor 3B subunit 3 OS=Dictyostelium discoideum GN=sf3b3 PE=3 SV=1	sp|Q54SA7|SF3B3_DICDI	140 kDa	TRUE	4
Preprotein translocase secA subunit.	sp|P10408|SECA_ECOLI	102 kDa	TRUE	4
Aldehyde dehydrogenase OS=Dictyostelium discoideum GN=hydA PE=3 SV=1	tr|Q54FY3|Q54FY3_DICDI	54 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184083 PE=4 SV=1	tr|Q54E40|Q54E40_DICDI	37 kDa		2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188841 PE=3 SV=1	tr|Q54G79|Q54G79_DICDI	34 kDa	TRUE	4
"Non-SMC condensin II complex, subunit D3 OS=Dictyostelium discoideum GN=DDB_0218111 PE=4 SV=1"	tr|Q54XY3|Q54XY3_DICDI	203 kDa	TRUE	5
30S ribosomal protein S2.	sp|P0A7V0|RS2_ECOLI	27 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188832 PE=4 SV=1	tr|Q54G88|Q54G88_DICDI	43 kDa		2
"Peptidase M41, FtsH domain-containing protein OS=Dictyostelium discoideum GN=rcaA PE=4 SV=1"	tr|Q75JS8|Q75JS8_DICDI	94 kDa	TRUE	4
60S ribosomal protein L12 OS=Dictyostelium discoideum GN=rpl12 PE=3 SV=1	sp|Q54J50|RL12_DICDI	18 kDa	TRUE	1
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184302 PE=4 SV=1	tr|Q54DG6|Q54DG6_DICDI	145 kDa		5
Putative uncharacterized protein aqr OS=Dictyostelium discoideum GN=aqr PE=4 SV=1	tr|Q555Z2|Q555Z2_DICDI	173 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203503 PE=1 SV=1	tr|Q552D1|Q552D1_DICDI	57 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206534 PE=4 SV=1	tr|Q54VG2|Q54VG2_DICDI	26 kDa		2
Transmembrane protein OS=Dictyostelium discoideum GN=DDB_0187877 PE=4 SV=1	tr|Q54J51|Q54J51_DICDI	32 kDa		5
"Cytochrome c oxidase polypeptide 6, mitochondrial OS=Dictyostelium discoideum GN=cxfA PE=1 SV=2"	sp|P26310|COX6_DICDI	11 kDa		0
tRNA (guanine-N(7)-)-methyltransferase subunit WDR4 OS=Dictyostelium discoideum GN=wdr4 PE=3 SV=1	sp|Q54UI3|WDR4_DICDI	53 kDa		1
40S ribosomal protein S25 OS=Dictyostelium discoideum GN=rps25 PE=3 SV=1	sp|Q03409|RS25_DICDI	12 kDa		1
Integrin beta-like protein A OS=Dictyostelium discoideum GN=sibA PE=1 SV=2	sp|Q54KF7|SIBA_DICDI	208 kDa	TRUE	6
Probable adenylate kinase B OS=Dictyostelium discoideum GN=adkB PE=3 SV=1	sp|Q54CT8|KADB_DICDI	26 kDa		1
Citrate synthase (EC 2.3.3.1).	sp|P0ABH7|CISY_ECOLI	48 kDa	TRUE	5
Probable cytochrome P450 508A2 OS=Dictyostelium discoideum GN=cyp508a2-1 PE=3 SV=1	sp|Q556M4|C5082_DICDI	57 kDa		5
Dynamin-like protein B OS=Dictyostelium discoideum GN=dlpB PE=2 SV=1	sp|Q54MH8|DLPB_DICDI	93 kDa		5
COP9 signalosome complex subunit 8 OS=Dictyostelium discoideum GN=csn8 PE=1 SV=1	sp|Q75K24|CSN8_DICDI	23 kDa		1
Membrane bound O-acyl transferase family protein OS=Dictyostelium discoideum GN=DDB_0205522 PE=4 SV=1	tr|Q54XX2|Q54XX2_DICDI	54 kDa		6
Beta-galactosidase (EC 3.2.1.23) (Lactas	sp|P00722|BGAL_ECOLI	116 kDa		5
RNA polymerase sigma factor rpoD (Sigma-	sp|P00579|RPOD_ECOLI	70 kDa		5
Actin-like protein 6A OS=Dictyostelium discoideum GN=arpD PE=3 SV=1	tr|Q54UQ7|Q54UQ7_DICDI	49 kDa		0
Integrin beta-like protein C OS=Dictyostelium discoideum GN=sibC PE=1 SV=1	sp|Q54JA5|SIBC_DICDI	208 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169400 PE=4 SV=1	tr|Q86KR5|Q86KR5_DICDI	14 kDa	TRUE	1
HTH-type transcriptional regulator galS	sp|P25748|GALS_ECOLI	37 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219761 PE=4 SV=1	tr|Q54D26|Q54D26_DICDI	171 kDa	TRUE	4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205874 PE=4 SV=1	tr|Q54W38|Q54W38_DICDI	102 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189322 PE=4 SV=1	tr|Q55GV8|Q55GV8_DICDI	81 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205814 PE=4 SV=1	tr|Q54WP6|Q54WP6_DICDI	67 kDa	TRUE	1
