Identified Proteins (1436)	Accession Number	Molecular Weight	Protein Grouping Ambiguity	Galpha8-GppNHp
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206357 PE=4 SV=1	tr|Q54VY1|Q54VY1_DICDI	38 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219436 PE=1 SV=1	tr|Q54HJ0|Q54HJ0_DICDI	15 kDa	TRUE	5
AP-3 complex subunit beta OS=Dictyostelium discoideum GN=ap3b-1 PE=3 SV=1	sp|Q556J8|AP3B_DICDI	127 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167972 PE=4 SV=1	tr|Q556I6|Q556I6_DICDI	61 kDa		0
Cytochrome c OS=Dictyostelium discoideum GN=cytC PE=3 SV=1	sp|Q869N1|CYC_DICDI	13 kDa		6
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0279539 PE=4 SV=1	tr|B0G128|B0G128_DICDI	42 kDa		2
Uncharacterized protein DDB_G0283843 OS=Dictyostelium discoideum GN=DDB_G0283843 PE=4 SV=1	sp|Q54QG4|Y1747_DICDI	21 kDa		2
"DNA-directed RNA polymerases I, II, and III subunit rpabc1 OS=Dictyostelium discoideum GN=polr2e PE=3 SV=2"	sp|Q54EH2|RPAB1_DICDI	23 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169005 PE=3 SV=1	tr|Q86L18|Q86L18_DICDI	60 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189329 PE=4 SV=1	tr|Q55GV0|Q55GV0_DICDI	55 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205662 PE=4 SV=1	tr|Q54X39|Q54X39_DICDI	28 kDa	TRUE	6
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191803 PE=4 SV=1	tr|Q54C69|Q54C69_DICDI	25 kDa		3
Phosphomannomutase 1 OS=Dictyostelium discoideum GN=pmmA PE=3 SV=1	sp|Q54X03|PMM1_DICDI	29 kDa		0
"Probable 39S ribosomal protein L21, mitochondrial OS=Dictyostelium discoideum GN=mrpl21 PE=3 SV=1"	sp|Q54IF0|RM21_DICDI	19 kDa		4
40S ribosomal protein S28 OS=Dictyostelium discoideum GN=rps28 PE=3 SV=1	sp|Q54MZ5|RS28_DICDI	8 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203213 PE=4 SV=1	tr|Q555E5|Q555E5_DICDI	55 kDa		0
Catabolite gene activator (cAMP receptor	sp|P0ACJ8|CRP_ECOLI	24 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217621 PE=4 SV=1	tr|Q553Z8|Q553Z8_DICDI	37 kDa	TRUE	0
Superoxide dismutase [Cu-Zn] 5 OS=Dictyostelium discoideum GN=sodE PE=3 SV=1	sp|Q54G70|SODC5_DICDI	16 kDa		6
SH3 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0274805 PE=4 SV=1	tr|C7FZZ0|C7FZZ0_DICDI	40 kDa		2
Transmembrane protein OS=Dictyostelium discoideum GN=DDB_0188033 PE=4 SV=1	tr|Q54IN0|Q54IN0_DICDI	24 kDa		0
WD40 repeat-containing protein OS=Dictyostelium discoideum GN=rae1 PE=4 SV=1	tr|Q54QH0|Q54QH0_DICDI	38 kDa		0
WWE domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0275801 PE=4 SV=1	tr|Q86H79|Q86H79_DICDI	44 kDa	TRUE	7
"Ribosomal protein S8, mitochondrial OS=Dictyostelium discoideum GN=mrps8 PE=3 SV=1"	sp|O21036|RT08_DICDI	17 kDa		5
Phospholipase D Z OS=Dictyostelium discoideum GN=pldZ PE=3 SV=1	sp|Q54SA1|PLDZ_DICDI	47 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203978 PE=4 SV=1	tr|Q54UI8|Q54UI8_DICDI	32 kDa	TRUE	0
RasGTPase-activating protein OS=Dictyostelium discoideum GN=DG1112 PE=4 SV=1	tr|Q869U6|Q869U6_DICDI	121 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167469 PE=4 SV=1	tr|Q8T848|Q8T848_DICDI	76 kDa	TRUE	2
Comitin OS=Dictyostelium discoideum GN=comA PE=1 SV=1	sp|Q03380|COMI_DICDI	21 kDa		4
DNA-directed RNA polymerase beta' chain	sp|P0A8T7|RPOC_ECOLI	155 kDa		0
Probable GH family 25 lysozyme 5 OS=Dictyostelium discoideum GN=DDB_G0293566 PE=3 SV=1	sp|Q54BL8|LYSG5_DICDI	25 kDa		0
Calponin homology domain-containing protein DDB_G0272472 OS=Dictyostelium discoideum GN=DDB_G0272472 PE=4 SV=1	sp|Q75JP5|Y2471_DICDI	174 kDa		0
Eukaryotic translation initiation factor 4E OS=Dictyostelium discoideum GN=eif4e PE=3 SV=1	sp|Q55FE0|IF4E_DICDI	29 kDa		0
ELMO domain-containing protein F OS=Dictyostelium discoideum GN=elmoF PE=4 SV=1	rsp|Q55GR7|ELMOF_DICDI	132 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0184090 PE=4 SV=1	tr|Q54E30|Q54E30_DICDI	36 kDa	TRUE	0
Myb domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0277033 PE=4 SV=1	tr|Q550R6|Q550R6_DICDI	136 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186709 PE=4 SV=1	tr|Q54MM9|Q54MM9_DICDI	27 kDa		3
"Ribosomal protein S2, mitochondrial OS=Dictyostelium discoideum GN=mrps2 PE=3 SV=1"	sp|Q9XPI7|RT02_DICDI	28 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168584 PE=4 SV=2	tr|Q8T2J5|Q8T2J5_DICDI	66 kDa		0
T-complex protein 1 subunit beta OS=Dictyostelium discoideum GN=cct2 PE=1 SV=1	sp|Q54ES9|TCPB_DICDI	58 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206412 PE=4 SV=1	tr|Q54VS8|Q54VS8_DICDI	101 kDa		0
26S proteasome non-ATPase regulatory subunit 14 OS=Dictyostelium discoideum GN=psmD14 PE=3 SV=1	sp|Q86IJ1|PSDE_DICDI	34 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188673 PE=4 SV=1	tr|Q54GQ7|Q54GQ7_DICDI	46 kDa		4
Lysosome membrane protein 2-A OS=Dictyostelium discoideum GN=lmpA PE=1 SV=1	sp|Q9XYS8|LMPA_DICDI	88 kDa		0
Acetyl-coenzyme A synthetase OS=Dictyostelium discoideum GN=acsA PE=3 SV=1	sp|Q54Z60|ACSA_DICDI	76 kDa		0
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Dictyostelium discoideum GN=hibch PE=3 SV=1"	sp|Q55GS6|HIBCH_DICDI	43 kDa	TRUE	0
COP9 signalosome complex subunit 5 OS=Dictyostelium discoideum GN=csn5 PE=1 SV=1	sp|Q54PF3|CSN5_DICDI	38 kDa		3
COP9 signalosome complex subunit 2 OS=Dictyostelium discoideum GN=csn2 PE=1 SV=1	sp|Q54HL6|CSN2_DICDI	52 kDa		0
Serine/threonine-protein kinase pakD OS=Dictyostelium discoideum GN=pakD PE=3 SV=1	sp|Q55DD4|PAKD_DICDI	191 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191014 PE=4 SV=1	tr|Q55BS7|Q55BS7_DICDI	26 kDa		0
Phenylalanyl-tRNA synthetase alpha chain OS=Dictyostelium discoideum GN=pheSA PE=3 SV=1	sp|Q54KS8|SYFA_DICDI	56 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0169220 PE=4 SV=1	tr|Q76NV4|Q76NV4_DICDI	31 kDa	TRUE	5
Fumarylacetoacetate hydrolase domain-containing protein 1 homolog OS=Dictyostelium discoideum GN=fahd1 PE=3 SV=1	sp|Q86I22|FAHD1_DICDI	24 kDa		0
Protein NipSnap homolog OS=Dictyostelium discoideum GN=nipsnap PE=3 SV=1	sp|Q54I58|NIPSN_DICDI	26 kDa	TRUE	0
Thioredoxin fold domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0272418 PE=4 SV=1	tr|B0G106|B0G106_DICDI	15 kDa		5
30S ribosomal protein S9.	sp|P0A7X3|RS9_ECOLI	15 kDa	TRUE	3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0205452 PE=4 SV=1	tr|Q54Y39|Q54Y39_DICDI	54 kDa		6
"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Dictyostelium discoideum GN=ndufs7 PE=3 SV=1"	sp|Q54NI6|NDUS7_DICDI	20 kDa		3
Ras-related protein Rab-6 OS=Dictyostelium discoideum GN=rab6 PE=3 SV=1	sp|Q55FK2|RAB6_DICDI	23 kDa	TRUE	0
Myosin IE heavy chain OS=Dictyostelium discoideum GN=myoE PE=1 SV=2	sp|Q03479|MYOE_DICDI	115 kDa	TRUE	0
Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Dictyostelium discoideum GN=fntA PE=3 SV=1	sp|Q54RT9|FNTA_DICDI	38 kDa		0
WASH complex subunit strumpellin homolog OS=Dictyostelium discoideum GN=DDB_G0288569 PE=1 SV=1	sp|Q54IR8|STRUM_DICDI	135 kDa	TRUE	0
Neutral ceramidase A OS=Dictyostelium discoideum GN=dcd2A PE=1 SV=1	sp|Q54BK2|NCSEA_DICDI	78 kDa	TRUE	0
Aerobic respiration control protein arcA	sp|P0A9Q1|ARCA_ECOLI	27 kDa		8
Cytochrome c oxidase subunit 5 OS=Dictyostelium discoideum GN=cxeA PE=1 SV=3	sp|P29505|COX5_DICDI	13 kDa	TRUE	2
Mo25-like family protein OS=Dictyostelium discoideum GN=DDB_G0284307 PE=4 SV=1	tr|C7G028|C7G028_DICDI	42 kDa		2
Probable ubiquitin-conjugating enzyme E2 variant OS=Dictyostelium discoideum GN=ube2v PE=3 SV=1	sp|Q54D06|UBE2V_DICDI	15 kDa		0
Calcium-binding protein 4a OS=Dictyostelium discoideum GN=cbpD1 PE=1 SV=1	sp|Q54RF4|CBP4A_DICDI	19 kDa		6
COMM domain-containing protein 1 OS=Dictyostelium discoideum GN=commd1 PE=4 SV=1	sp|Q54DR0|COMD1_DICDI	22 kDa		0
50S ribosomal protein L1.	sp|P0A7L0|RL1_ECOLI	25 kDa		7
COMM domain-containing protein 5 OS=Dictyostelium discoideum GN=commd5 PE=4 SV=1	sp|Q86IW8|COMD5_DICDI	24 kDa		0
Mannose-1-phosphate guanyltransferase beta OS=Dictyostelium discoideum GN=gmppB PE=2 SV=1	sp|Q54K39|GMPPB_DICDI	39 kDa		5
Cathepsin B OS=Dictyostelium discoideum GN=ctsB PE=3 SV=1	sp|Q54QD9|CTSB_DICDI	34 kDa		0
Pirin family protein OS=Dictyostelium discoideum GN=DDB_G0292528 PE=3 SV=1	tr|C7G074|C7G074_DICDI	33 kDa		2
Probable phosphoglucomutase-2 OS=Dictyostelium discoideum GN=pgmB PE=3 SV=1	sp|Q54UQ2|PGM2_DICDI	68 kDa		0
WD repeat-containing protein 61 homolog OS=Dictyostelium discoideum GN=wdr61 PE=4 SV=1	sp|Q54S59|WDR61_DICDI	32 kDa	TRUE	3
Diphthine synthase OS=Dictyostelium discoideum GN=dph5 PE=3 SV=1	sp|Q75JG8|DPH5_DICDI	31 kDa		3
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0167952 PE=4 SV=1	tr|Q556G9|Q556G9_DICDI	46 kDa		0
Protein LTV1 homolog OS=Dictyostelium discoideum GN=ltv1 PE=3 SV=2	sp|Q8T1D4|LTV1_DICDI	58 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185788 PE=4 SV=1	tr|Q54QA3|Q54QA3_DICDI	31 kDa		2
Argininosuccinate synthase (EC 6.3.4.5)	sp|P0A6E4|ASSY_ECOLI	50 kDa	TRUE	2
Centrosomal protein 44 kDa OS=Dictyostelium discoideum GN=DDB_0204789 PE=4 SV=1	tr|Q54SG2|Q54SG2_DICDI	44 kDa		2
Cytosolic Fe-S cluster assembly factor NUBP1 homolog OS=Dictyostelium discoideum GN=nubp1 PE=3 SV=1	sp|Q8T2F3|NUBP1_DICDI	34 kDa	TRUE	2
Type A von Willebrand factor domain-containing protein OS=Dictyostelium discoideum GN=DDB_0205268 PE=1 SV=1	tr|Q54SU8|Q54SU8_DICDI	77 kDa		0
Phosphoglycerate kinase (EC 2.7.2.3).	sp|P0A799|PGK_ECOLI	41 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0219276 PE=4 SV=1	tr|Q54JS9|Q54JS9_DICDI	38 kDa		3
Copine-C OS=Dictyostelium discoideum GN=cpnC PE=2 SV=1	sp|Q54P51|CPNC_DICDI	60 kDa	TRUE	0
AAA ATPase domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0289047 PE=3 SV=1	tr|Q54I27|Q54I27_DICDI	89 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0188759 PE=4 SV=1	tr|Q54GG6|Q54GG6_DICDI	41 kDa		0
Threonine ammonia-lyase OS=Dictyostelium discoideum GN=DDB_G0277245 PE=4 SV=1	tr|Q86AP7|Q86AP7_DICDI	131 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0185424 PE=4 SV=1	tr|Q54RB5|Q54RB5_DICDI	29 kDa		0
ADP-ribosylation factor-like protein 8 OS=Dictyostelium discoideum GN=arl8 PE=3 SV=1	sp|Q54R04|ARL8_DICDI	21 kDa		2
Ras-related protein Rab-32A OS=Dictyostelium discoideum GN=rab32A PE=1 SV=1	sp|Q54QR3|RB32A_DICDI	25 kDa	TRUE	0
Ubiquitin conjugating enzyme E2 B OS=Dictyostelium discoideum GN=ubcB PE=1 SV=1	sp|Q94490|UBCB_DICDI	17 kDa		3
Sphingosine-1-phosphate lyase OS=Dictyostelium discoideum GN=sglA PE=2 SV=1	sp|Q54RV9|SGPL_DICDI	58 kDa		2
Enolase (EC 4.2.1.11) (2-phosphoglycerat	sp|P0A6P9|ENO_ECOLI	46 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0204670 PE=4 SV=1	tr|Q54TF2|Q54TF2_DICDI	89 kDa	TRUE	0
Signal recognition particle subunit SRP68 OS=Dictyostelium discoideum GN=srp68 PE=3 SV=1	sp|Q1ZXE8|SRP68_DICDI	71 kDa	TRUE	0
Peptidoglycan-associated lipoprotein pre	sp|P0A912|PAL_ECOLI	19 kDa		2
50S ribosomal protein L15.	sp|P02413|RL15_ECOLI	15 kDa		3
Phospholipase B-like protein F OS=Dictyostelium discoideum GN=plbF PE=3 SV=1	sp|Q554H5|PLBLF_DICDI	65 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0168073 PE=4 SV=1	tr|Q556V2|Q556V2_DICDI	161 kDa	TRUE	0
Phosphatidylinositol transfer protein 2 OS=Dictyostelium discoideum GN=pitB PE=2 SV=1	sp|Q9NCL7|PITP2_DICDI	30 kDa	TRUE	4
Protein phosphatase 2C OS=Dictyostelium discoideum GN=DDB_0205493 PE=3 SV=1	tr|Q54Y00|Q54Y00_DICDI	33 kDa		2
Ubiquitin carrier protein OS=Dictyostelium discoideum GN=DDB_0188059 PE=3 SV=1	tr|Q54IK3|Q54IK3_DICDI	66 kDa		4
Geranylgeranyl transferase type-2 subunit alpha OS=Dictyostelium discoideum GN=rabggta PE=3 SV=2	sp|Q55DQ4|PGTA_DICDI	38 kDa		4
Peroxisomal targeting signal 2 receptor OS=Dictyostelium discoideum GN=pex7 PE=3 SV=1	sp|Q54WA3|PEX7_DICDI	37 kDa		0
Tetratricopeptide-like helical domain-containing protein OS=Dictyostelium discoideum GN=DDB_0167441 PE=4 SV=1	tr|Q869X1|Q869X1_DICDI	94 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0203503 PE=1 SV=1	tr|Q552D1|Q552D1_DICDI	57 kDa	TRUE	0
Mitochondrial genome maintenance protein mgm101 homolog OS=Dictyostelium discoideum GN=mgm101 PE=3 SV=1	sp|Q8MYF0|MG101_DICDI	43 kDa	TRUE	6
Transcription elongation protein nusA (N	sp|P0AFF6|NUSA_ECOLI	55 kDa	TRUE	5
60S ribosomal protein L30 OS=Dictyostelium discoideum GN=rpl30 PE=3 SV=1	sp|Q55BS9|RL30_DICDI	12 kDa		3
Ras-related protein rapB OS=Dictyostelium discoideum GN=rapB PE=3 SV=1	sp|Q86L51|RAPB_DICDI	23 kDa	TRUE	0
Maf-like protein DDB_G0281937 OS=Dictyostelium discoideum GN=DDB_G0281937 PE=3 SV=1	sp|Q54TC5|MAFL2_DICDI	22 kDa		0
Lactose operon repressor.	sp|P03023|LACI_ECOLI	39 kDa		0
Calcium up-regulated protein C OS=Dictyostelium discoideum GN=cupC PE=2 SV=1	sp|Q7Z202|CUPC_DICDI	85 kDa	TRUE	0
60S ribosomal protein L40 OS=Dictyostelium discoideum GN=ubqB PE=3 SV=1	sp|P14794|RL40_DICDI	6 kDa		4
Guanine nucleotide-binding protein alpha-5 subunit OS=Dictyostelium discoideum GN=gpaE PE=3 SV=2	sp|P34043|GPA5_DICDI	40 kDa	TRUE	4
Cell surface glycoprotein gp138 OS=Dictyostelium discoideum GN=GP138C PE=4 SV=1	tr|O96070|O96070_DICDI	82 kDa		0
"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Dictyostelium discoideum GN=bkdA PE=3 SV=1"	sp|Q54M22|ODBA_DICDI	50 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0216796 PE=4 SV=1	tr|Q55BE9|Q55BE9_DICDI	48 kDa		0
U2 small nuclear ribonucleoprotein B'' OS=Dictyostelium discoideum GN=snrpb2 PE=3 SV=1	sp|Q54J05|RU2B_DICDI	27 kDa		5
Eukaryotic translation initiation factor 3 subunit H OS=Dictyostelium discoideum GN=eif3h PE=3 SV=1	sp|Q54UD0|EIF3H_DICDI	37 kDa		0
Enolase superfamily member DDB_G0284701 OS=Dictyostelium discoideum GN=DDB_G0284701 PE=3 SV=1	sp|P0CC06|Y4701_DICDI	50 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189429 PE=4 SV=1	tr|Q55GJ5|Q55GJ5_DICDI	42 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0272476 PE=4 SV=1	tr|Q1ZXN5|Q1ZXN5_DICDI	15 kDa	TRUE	3
50S ribosomal protein L18.	sp|P0C018|RL18_ECOLI	13 kDa		5
Nitrogen regulation protein NR(I).	sp|P0AFB8|NTRC_ECOLI	52 kDa		2
SNF2-related domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0272082 PE=4 SV=1	rtr|B0G105|B0G105_DICDI	207 kDa	TRUE	2
Ras guanine nucleotide exchange factor F OS=Dictyostelium discoideum GN=gefF PE=2 SV=1	sp|Q54C94|GEFF_DICDI	126 kDa		0
Hypothetical outer membrane protein yejO	rsp|P33924|YEJO_ECOLI	91 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0189251 PE=4 SV=1	tr|Q54F41|Q54F41_DICDI	79 kDa		0
Carbonic anhydrase OS=Dictyostelium discoideum GN=DDB_0203193 PE=3 SV=1	tr|Q555A3|Q555A3_DICDI	31 kDa		2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186311 PE=4 SV=1	tr|Q54NT1|Q54NT1_DICDI	32 kDa		2
RabGAP/TBC domain-containing protein OS=Dictyostelium discoideum GN=DDB_0188980 PE=4 SV=1	tr|Q54FT8|Q54FT8_DICDI	43 kDa		3
Glycosidase superfamily protein OS=Dictyostelium discoideum GN=DDB_0204691 PE=1 SV=1	tr|Q54X80|Q54X80_DICDI	58 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0190649 PE=4 SV=1	tr|Q55CV0|Q55CV0_DICDI	26 kDa		0
Protein phosphatase 2C-related protein OS=Dictyostelium discoideum GN=DDB_0206356 PE=4 SV=1	tr|Q54VY2|Q54VY2_DICDI	57 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0191851 PE=4 SV=1	tr|Q54C48|Q54C48_DICDI	78 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183875 PE=4 SV=1	tr|Q54EP8|Q54EP8_DICDI	32 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217941 PE=4 SV=1	tr|Q54ZX6|Q54ZX6_DICDI	34 kDa	TRUE	2
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0202072 PE=4 SV=1	tr|Q55GT0|Q55GT0_DICDI	76 kDa	TRUE	0
U1 small nuclear ribonucleoprotein 70 kDa OS=Dictyostelium discoideum GN=snrnp70 PE=3 SV=1	sp|Q55FQ0|RU17_DICDI	53 kDa		3
Nucleolar protein 58 OS=Dictyostelium discoideum GN=nop58 PE=3 SV=1	sp|Q55FI4|NOP58_DICDI	72 kDa		0
Glutamate-rich WD repeat-containing protein 1 OS=Dictyostelium discoideum GN=grwd1 PE=3 SV=1	sp|Q54ED4|GRWD1_DICDI	55 kDa		0
Putative calcium up-regulated protein H OS=Dictyostelium discoideum GN=cupH PE=3 SV=1	sp|Q54FW5|CUPH_DICDI	85 kDa	TRUE	0
Small GTPase OS=Dictyostelium discoideum GN=spg1 PE=4 SV=1	tr|Q54EY3|Q54EY3_DICDI	23 kDa		3
DUF544 family protein OS=Dictyostelium discoideum GN=fam63A PE=4 SV=1	tr|Q55D67|Q55D67_DICDI	46 kDa		3
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_0187427 PE=4 SV=1	tr|Q54KH9|Q54KH9_DICDI	10 kDa		2
"Tryptophanyl-tRNA synthetase, cytoplasmic OS=Dictyostelium discoideum GN=trpS PE=3 SV=1"	sp|Q55DZ8|SYWC_DICDI	46 kDa		2
Ribose-phosphate pyrophosphokinase C OS=Dictyostelium discoideum GN=prsC PE=3 SV=1	sp|Q54QU9|PRPSC_DICDI	35 kDa		3
Probable cytidine deaminase OS=Dictyostelium discoideum GN=cda PE=3 SV=1	sp|Q54I82|CDD_DICDI	16 kDa		3
Actobindin-B/C OS=Dictyostelium discoideum GN=abnB PE=3 SV=1	sp|Q55DU1|ACTOB_DICDI	10 kDa		4
Squalene monooxygenase OS=Dictyostelium discoideum GN=sqle PE=4 SV=1	tr|Q54BK7|Q54BK7_DICDI	55 kDa		0
Small heat shock protein hspL OS=Dictyostelium discoideum GN=hspL PE=3 SV=1	sp|Q55GH8|HSPL_DICDI	15 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0183916 PE=4 SV=1	tr|Q54EK3|Q54EK3_DICDI	125 kDa	TRUE	0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0201900 PE=4 SV=1	tr|Q55CT9|Q55CT9_DICDI	34 kDa		0
RNA-binding region RNP-1 domain-containing protein OS=Dictyostelium discoideum GN=DDB_G0292698 PE=4 SV=1	tr|Q54CU2|Q54CU2_DICDI	35 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0206203 PE=4 SV=1	tr|Q54XQ5|Q54XQ5_DICDI	36 kDa		0
Acyl-protein thioesterase 1 homolog 2 OS=Dictyostelium discoideum GN=DDB_G0268064 PE=2 SV=1	sp|Q55FK4|APT12_DICDI	25 kDa	TRUE	3
26S protease regulatory subunit 6B homolog OS=Dictyostelium discoideum GN=psmC4 PE=1 SV=1	sp|P34123|PRS6B_DICDI	46 kDa	TRUE	0
Aldo-keto reductase OS=Dictyostelium discoideum GN=alrD PE=4 SV=1	tr|Q54NR0|Q54NR0_DICDI	33 kDa		0
O-methyltransferase 9 OS=Dictyostelium discoideum GN=omt9 PE=3 SV=1	sp|Q54GZ0|OMT9_DICDI	41 kDa		5
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186941 PE=4 SV=1	tr|Q54LW1|Q54LW1_DICDI	27 kDa		0
Autophagy-related protein 7 OS=Dictyostelium discoideum GN=atg7 PE=3 SV=1	sp|Q86CR9|ATG7_DICDI	80 kDa		0
UV excision repair protein RAD23 homolog OS=Dictyostelium discoideum GN=rcbA PE=1 SV=1	sp|Q54LV1|RAD23_DICDI	37 kDa		4
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186233 PE=4 SV=1	tr|Q54P12|Q54P12_DICDI	23 kDa		0
60S ribosomal protein L37a OS=Dictyostelium discoideum GN=rpl37A PE=3 SV=1	sp|Q54UG4|RL37A_DICDI (+1)	10 kDa		3
Isochorismatase family protein 2B OS=Dictyostelium discoideum GN=DDB_G0283199 PE=3 SV=1	sp|Q54RC7|ISC2B_DICDI	24 kDa		0
FK506-binding protein 3 OS=Dictyostelium discoideum GN=fkbp3 PE=2 SV=1	sp|Q54N80|FKBP3_DICDI	21 kDa		0
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0186098 PE=4 SV=1	tr|Q54PE3|Q54PE3_DICDI	164 kDa	TRUE	0
EGF-like domain-containing protein OS=Dictyostelium discoideum GN=DDB_0167997 PE=4 SV=1	tr|Q556L2|Q556L2_DICDI	158 kDa	TRUE	0
Oxysterol-binding protein 3 OS=Dictyostelium discoideum GN=osbC PE=3 SV=1	sp|Q55CR2|OSB3_DICDI	42 kDa		0
tRNA pseudouridine synthase D OS=Dictyostelium discoideum GN=pus7 PE=4 SV=1	tr|Q86JH5|Q86JH5_DICDI	83 kDa	TRUE	0
Putative uncharacterized protein rsc43 OS=Dictyostelium discoideum GN=rsc43 PE=2 SV=1	tr|O15692|O15692_DICDI	28 kDa	TRUE	0
Peptidase C53 family protein OS=Dictyostelium discoideum GN=DDB_G0275693 PE=2 SV=1	tr|Q95UC5|Q95UC5_DICDI	77 kDa		0
Isopentenyl-diphosphate Delta-isomerase OS=Dictyostelium discoideum GN=ipi PE=2 SV=1	sp|Q9NH02|IDI_DICDI	28 kDa		2
P-type ATPase OS=Dictyostelium discoideum GN=DDB_0190219 PE=4 SV=1	tr|Q55E61|Q55E61_DICDI	148 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0217816 PE=4 SV=1	tr|Q551J1|Q551J1_DICDI	35 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_0186662 PE=4 SV=1	tr|Q54MS4|Q54MS4_DICDI	109 kDa	TRUE	0
"Ribosomal protein L15, mitochondrial OS=Dictyostelium discoideum GN=mrpl15 PE=3 SV=1"	tr|Q54PP3|Q54PP3_DICDI	28 kDa		0
Putative uncharacterized protein OS=Dictyostelium discoideum GN=DDB_G0283871 PE=4 SV=1	tr|Q54QJ8|Q54QJ8_DICDI	30 kDa		0
50S ribosomal protein L9.	sp|P0A7R1|RL9_ECOLI	16 kDa		4
Uncharacterized transmembrane protein DDB_G0282483 OS=Dictyostelium discoideum GN=DDB_G0282483 PE=4 SV=1	sp|Q54SG3|Y4788_DICDI	40 kDa	TRUE	2
Short-chain dehydrogenase/reductase family protein OS=Dictyostelium discoideum GN=DDB_0188841 PE=3 SV=1	tr|Q54G79|Q54G79_DICDI	34 kDa		2
Peptidase C1A family protein OS=Dictyostelium discoideum GN=DDB_0206429 PE=3 SV=1	tr|Q54VR1|Q54VR1_DICDI	32 kDa		0
